latitude,longitude,sensitivity,cover,Height
-13.730080059092755,-44.15003580178585,0.9460683465003967,0.020300190895795822,4.94
-13.72966623412177,-44.149719272446006,0.9420387148857117,0.006958043668419123,4.15
-13.729252229436126,-44.149402746255696,0.937415599822998,0.04597275331616402,4.78
-13.728838244266177,-44.14908623599027,0.9411842226982117,0.032770201563835144,4.59
-13.728424528324949,-44.1487697584163,0.9320885539054871,0.009401852265000343,4.75
-13.728010954487155,-44.14845330255993,0.9428749084472656,0.07733379304409027,4.78
-13.727597605997712,-44.14813687326275,0.9382713437080383,0.017744584009051323,4.59
-13.727183959378175,-44.1478204308914,0.9437114000320435,0.04814235493540764,4.71
-13.726770234957941,-44.147503989527365,0.9425454139709473,0.014778469689190388,4.55
-13.72635631683984,-44.14718753964829,0.9412039518356323,0.08309786766767502,5.28
-13.725942601468569,-44.14687103914784,0.9427726864814758,0.08245453238487244,6.46
-13.725528672750386,-44.14655452573767,0.9497794508934021,0.17907780408859253,6.8
-13.725113702908283,-44.146237936926774,0.9379757046699524,0.13052378594875336,6.32
-13.724699866195966,-44.145921430601256,0.9525758624076843,0.012409830465912819,6.46
-13.724287729146445,-44.14560504633463,0.9497378468513489,0.06223117560148239,5.88
-13.723874601471467,-44.14528858628347,0.943977952003479,0.006222167983651161,5.34
-13.723461270735653,-44.14497210604402,0.9486891031265259,0.013344326987862587,5.84
-13.723047077195586,-44.14465555619631,0.9397087693214417,0.012450112961232662,5.34
-13.722631343207729,-44.14433888573793,0.9515952467918396,0.03979868069291115,7.3
-13.722218711018321,-44.14402243474696,0.9416375160217285,0.007683678530156612,7.07
-13.72180565583655,-44.14370594580853,0.9445038437843323,0.031904663890600204,5.34
-13.721391692768059,-44.143389385522255,0.9480445384979248,0.028204575181007385,5.34
-13.720977029602444,-44.14307277029728,0.9470032453536987,0.021482110023498535,5.84
-13.720564973547773,-44.14275634329541,0.9537218809127808,0.023050231859087944,5.05
-13.720151959563998,-44.14243984477774,0.9443260431289673,0.014776072464883327,4.71
-13.719738587786322,-44.14212332032657,0.9460012912750244,0.14566625654697418,7.78
-13.719325129299877,-44.1418067909762,0.9424015879631042,0.02554388716816902,4.71
-13.718911504140037,-44.14149025264388,0.9413517117500305,0.007349273655563593,4.3
-13.718497776916918,-44.141173710632664,0.9466474652290344,0.008821672759950161,4.53
-13.71808383096365,-44.14085715797959,0.9449391961097717,0.04901648685336113,5.01
-13.71766992931484,-44.140540615283605,0.9366791844367981,0.008960018865764141,4.4
-13.717256054225643,-44.140224083073484,0.9426416754722595,0.06110101193189621,4.4
-13.716842581245432,-44.13990758916473,0.959162175655365,0.032404474914073944,4.78
-13.716428802765693,-44.13959108383807,0.9494396448135376,0.03381847217679024,4.94
-13.716015278537725,-44.13927460919918,0.9449754953384399,0.005433352664113045,4.71
